sentiment,review_text
Negative,The environment is good but the basic is too low.
Negative,Still a lot of manual work and very volume based KPI.
Negative,Only give short break
Negative,but Depends on Your Tolerance with the Culture
Negative,Everything is manual and use a lot of paper.
Negative,the company only side customer
Positive,but usually management would keep
Negative,Overall in Ipoh if working in banking can lived a good life but work life balance not sure because too packed with task.
Negative,"However, the role requires a significant amount of self-directed learning."
Negative,Stayback almost everyday.
Negative,Different business units work in silos.
Positive,Could be working from home most of the time.
Negative,Great Start but no wlb
Positive,"Don't push yourself to hard, but learn and try to slowly to improve your future."
Negative,even if it wasnât recognised by management.
Negative,Best colleagues but bad upper management
Negative,"but compared to other commercial bank, rhb is like medium."
Positive,salary at average & quite many campaigns for staff to earn commision
Positive,"3day office, 2 days wfh."
Negative,Basically speaking no one goes back on time sharp 05:45pm.
Negative, but in terms of workloads there werenât much that interns are allowed to do as it is customerâs privacy matters.
Negative,Too many to list down.
Negative,Multiple reporting layers.
Negative,usually will stay until 7pm ++ to do cold calling
Positive,"No toxic and eventho you were overwhelmed with heavy workloads, but its okay."
Negative,"many approval structure , compliances and hierarch to meet."
Negative,Last time staff needed to perform for annual dinners if selected.
Positive,if ur fresh graduate just try to gain experience .
Negative,Not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this.
Negative,Old structure of company
Negative,stressful but flexible schedule
Negative,Minimal training and development programmes.
Negative,Incentives are small compared to other banks.
Negative,Would be nice to have help from top management for new staff
Negative,a lot of meetings.
Negative,sometimes back to back meetings.
Positive,Annual leave 24 days.
Negative,Low commission compare to other banks Slow system for loan submission
Negative,The system used by everyone is new and nowhere near perfect.
Negative,"Good pay and bonus, yet there's no work life balance."
Negative,There is stress in banking task but we as workers smart to handle it.
Negative,CIMB is actually quite a manual-based company (attendance have to sign on paper).
Negative,Daily task have to be completed on time 
Negative,When the volume work becomes high.
Negative,Each department only knows their own product instead of knowing all.
Negative,You will notice to get different answers.
Negative,Must to find customer salary basic above 3k to get better achievement but in kedah and penang most workers basic 1.5k 
Negative,Promotion will be mostly based on the service years rather than job performance.
Negative,Need to cover the task for the colleague that take leave.
Negative,need to attend branch morning briefing every day
Negative,You donât get commission for during cross selling.
Negative,Unclear commission
Negative,Attractive benefits but limited growth
Positive,Pretty straightforward .
Negative,"I used to work at CIMB as financial analyst, working environment is fine but somehow I saw that everyone is trying really hard to appeal bosses which"
Negative,No OT payment but expected to OT every single day
Negative,"The workload is quite heavy, but by time ull get used to it."
Negative,Need to work on Sunday 2 times per month so overall you just have 2 days of offday per month.
Positive,"While the job offered some valuable learning experiences, "
Negative,Its a way for them to hold their staff to not resign.
Negative,All higher ups care is sales.
Negative,Unclear commission calculate
Negative,"Overall, while the job can be challenging,"
Negative,The name is not top.
Negative,"But working in sales department , you must achieved target to get commission"
Negative,Management Style: - Old-school management required multiple layers to apply work access.
Negative,Concall in the morning will pulled your mood
Negative,"If you preffered working like a robot, can try this"
Negative,Old working system.
Positive,but still free of mind
Negative,Need also to involve with events and might need to stay very late.
