review_row_id,id,company_name,text_content,sentence_id,sentence_text,original_text
1,1,Cimb-Group,review_title,1,Clear object,Clear object
2,1,Cimb-Group,review_body_text,1,Good company and exposure for junior level.,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.
2,1,Cimb-Group,review_body_text,2,Promotion can be very fast to some work function given the person is high performer in the team or department.,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.
3,2,HSBC,review_title,1,best place to work,best place to work
4,2,HSBC,review_body_text,1,"work life balance, good elearning, internaltional exposure, the pay might not as high as other local bank but they pay is quite fair.","work life balance, good elearning, internaltional exposure, the pay might not as high as other local bank but they pay is quite fair. some management are suck but you might meet some great management, all depend on your luck."
4,2,HSBC,review_body_text,2,"some management are suck but you might meet some great management, all depend on your luck.","work life balance, good elearning, internaltional exposure, the pay might not as high as other local bank but they pay is quite fair. some management are suck but you might meet some great management, all depend on your luck."
5,2,HSBC,pros_text,1,"work life balance, good elearning","work life balance, good elearning"
6,2,HSBC,cons_text,1,low increament,low increament
7,3,Cimb-Group,review_title,1,Productive workplace,Productive workplace
8,3,Cimb-Group,review_body_text,1,"brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy.","brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy."
9,4,bank islam,review_title,1,Comprehensive benefits with concerns over operational balance and promotion fairness,Comprehensive benefits with concerns over operational balance and promotion fairness
10,4,bank islam,review_body_text,1,I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive.,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement."
10,4,bank islam,review_body_text,2,"The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments.","I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement."
10,4,bank islam,review_body_text,3,"However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming.","I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement."
10,4,bank islam,review_body_text,4,"Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required.","I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement."
